

No.	Name	Perf Week	Perf Month	Perf Quart	Perf Half	Perf Year	Perf YTD	Recom	Avg Volume	Rel Volume	Change	Volume
1	Advertising Agencies	6.09%	13.00%	11.53%	-7.20%	78.69%	1.71%	1.72	53.91M	1.31	0.49%	70.82M
2	Aerospace & Defense	-0.01%	1.50%	16.65%	23.28%	36.69%	32.12%	1.83	187.00M	0.92	0.86%	171.83M
3	Agricultural Inputs	-4.91%	-8.19%	-0.16%	7.41%	18.93%	16.14%	2.08	18.63M	1.34	-1.26%	24.92M
4	Airlines	7.29%	3.72%	17.88%	0.01%	58.63%	5.63%	1.69	132.45M	1.63	7.07%	216.50M
5	Airports & Air Services	0.92%	16.44%	34.51%	47.24%	76.76%	53.30%	2.73	38.43M	0.73	3.80%	28.06M
6	Aluminum	5.70%	3.50%	14.63%	-3.89%	8.49%	-4.24%	1.87	9.43M	1.09	6.03%	10.25M
7	Apparel Manufacturing	1.26%	-1.17%	-1.66%	-14.53%	-1.36%	-13.97%	2.09	45.14M	2.68	3.00%	121.14M
8	Apparel Retail	3.07%	5.94%	-1.97%	-3.95%	8.84%	-4.87%	1.89	58.42M	0.91	1.43%	53.19M
9	Asset Management	2.00%	3.24%	11.56%	4.16%	32.69%	5.59%	2.03	132.96M	1.10	2.28%	146.60M
10	Auto & Truck Dealerships	0.85%	-4.83%	7.07%	1.00%	36.75%	15.19%	1.99	21.43M	3.14	1.34%	67.20M
11	Auto Manufacturers	8.12%	6.11%	4.22%	-0.58%	42.60%	-10.40%	2.40	494.02M	0.84	0.84%	413.36M
12	Auto Parts	2.11%	4.99%	10.86%	13.25%	18.69%	16.11%	1.83	145.35M	1.03	1.09%	149.01M
13	Banks - Diversified	3.28%	3.84%	14.45%	15.06%	45.74%	25.56%	1.99	127.97M	0.88	1.66%	112.68M
14	Banks - Regional	2.48%	0.47%	6.93%	8.99%	24.13%	14.16%	1.87	370.74M	0.96	2.16%	356.47M
15	Beverages - Brewers	1.57%	-6.24%	-8.68%	14.29%	-7.35%	8.24%	1.83	38.48M	1.06	0.23%	40.92M
16	Beverages - Non-Alcoholic	3.58%	3.94%	5.08%	9.47%	1.03%	8.72%	1.96	61.04M	0.88	0.41%	53.89M
17	Beverages - Wineries & Distilleries	7.85%	8.90%	-4.92%	1.65%	-15.38%	-13.73%	2.43	17.20M	1.01	-0.16%	17.41M
18	Biotechnology	1.84%	1.56%	-7.16%	-14.68%	-11.67%	-12.17%	1.50	672.99M	1.35	1.65%	911.51M
19	Broadcasting	8.68%	6.15%	6.33%	-21.82%	-11.81%	-15.50%	1.81	23.46M	1.48	4.84%	34.69M
20	Building Materials	5.81%	10.46%	7.75%	4.41%	18.05%	11.00%	1.80	30.34M	0.86	3.23%	26.03M
21	Building Products & Equipment	1.42%	-1.19%	3.62%	6.51%	15.96%	8.73%	2.22	34.71M	1.19	2.57%	41.18M
22	Business Equipment & Supplies	0.53%	-3.46%	-6.89%	-17.91%	-20.48%	-20.73%	1.00	1.08M	1.01	2.35%	1.09M
23	Capital Markets	3.87%	3.59%	24.56%	18.46%	66.15%	32.38%	2.10	476.60M	0.96	1.99%	456.12M
24	Chemicals	-3.37%	-18.97%	-21.75%	-37.78%	-54.37%	-40.36%	2.51	35.22M	1.50	1.06%	52.79M
25	Coking Coal	18.50%	26.27%	43.15%	13.98%	-5.78%	7.79%	1.85	6.95M	1.37	5.19%	9.55M
26	Communication Equipment	6.07%	6.33%	14.16%	9.18%	44.42%	14.55%	2.10	153.79M	1.22	1.92%	188.17M
27	Computer Hardware	8.35%	15.83%	39.25%	16.08%	48.87%	25.70%	1.69	282.64M	0.77	2.59%	216.49M
28	Confectioners	-2.71%	-5.48%	-3.71%	7.36%	-12.14%	3.40%	2.21	9.65M	0.93	-0.02%	9.02M
29	Conglomerates	0.58%	-4.45%	2.25%	4.51%	13.92%	4.57%	2.07	15.85M	1.08	0.91%	17.11M
30	Consulting Services	-0.76%	-7.82%	-11.14%	-8.80%	-12.04%	-6.62%	2.20	6.92M	1.02	-0.77%	7.08M
31	Consumer Electronics	13.05%	10.16%	9.02%	1.68%	9.31%	-7.05%	1.95	76.95M	1.00	1.03%	76.75M
32	Copper	4.47%	-4.34%	7.90%	6.30%	2.77%	11.00%	2.59	36.02M	0.76	1.99%	27.46M
33	Credit Services	0.99%	-1.59%	-0.55%	-0.41%	31.03%	7.16%	1.82	146.98M	0.90	1.10%	131.98M
34	Department Stores	5.27%	9.13%	18.83%	-4.60%	-2.59%	-6.54%	3.65	20.20M	0.88	3.63%	17.72M
35	Diagnostics & Research	2.84%	7.48%	7.77%	-5.13%	-13.91%	-4.45%	1.74	56.19M	0.92	2.56%	51.47M
36	Discount Stores	4.36%	5.29%	4.34%	-1.21%	33.77%	11.83%	1.69	35.85M	0.99	-0.01%	35.47M
37	Drug Manufacturers - General	-3.18%	-5.41%	-1.47%	-8.29%	-14.89%	-3.16%	2.01	135.76M	0.77	0.40%	104.71M
38	Drug Manufacturers - Specialty & Generic	3.12%	-1.61%	-1.74%	-0.19%	-6.48%	-2.50%	1.82	123.53M	1.40	1.30%	173.41M
39	Education & Training Services	6.05%	3.63%	-2.11%	-1.82%	13.78%	5.80%	1.81	28.86M	0.79	2.85%	22.79M
40	Electrical Equipment & Parts	3.57%	13.40%	32.57%	14.99%	53.06%	18.98%	1.84	174.32M	0.95	3.29%	165.36M
41	Electronic Components	3.77%	12.95%	34.09%	38.11%	69.76%	47.54%	1.81	44.46M	0.93	2.46%	41.14M
42	Electronic Gaming & Multimedia	2.57%	7.38%	29.79%	37.98%	71.95%	51.01%	1.83	20.74M	0.85	1.15%	17.71M
43	Electronics & Computer Distribution	6.19%	-1.08%	7.43%	1.70%	3.98%	8.31%	2.32	2.61M	1.00	3.28%	2.61M
44	Engineering & Construction	3.12%	7.64%	23.28%	26.77%	44.58%	28.80%	1.74	29.19M	0.94	2.41%	27.44M
45	Entertainment	2.74%	-3.19%	8.43%	11.73%	62.15%	21.62%	1.81	155.79M	1.04	1.12%	162.65M
46	Farm & Heavy Construction Machinery	-2.29%	1.19%	9.18%	7.17%	25.17%	11.77%	2.28	32.93M	0.83	0.81%	27.48M
47	Farm Products	2.32%	7.39%	9.59%	13.82%	-2.99%	7.49%	2.46	17.20M	1.11	0.36%	19.06M
