No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	218.38B	42.44	21.94	1.10	3.14	8.92	17.49	25.45	62.87%	38.68%	29.40%	1.27%	55.89M
2	Aerospace & Defense	1522.48B	42.26	30.71	2.79	3.03	7.13	23.96	51.53	20.29%	15.12%	3.63%	-0.47%	146.29M
3	Agricultural Inputs	118.98B	21.51	14.55	1.77	1.51	1.48	16.13	16.98	3.17%	12.18%	4.39%	0.28%	13.44M
4	Airlines	168.00B	12.73	9.77	0.72	0.61	2.70	3.40	14.47	-5.17%	17.77%	6.23%	1.67%	108.55M
5	Airports & Air Services	43.98B	32.38	21.66	2.66	5.64	7.43	12.61	34.94	19.54%	12.18%	13.29%	0.45%	55.44M
6	Aluminum	13.50B	11.22	10.37	0.28	0.52	1.60	7.24	23.20	-5.06%	40.09%	4.09%	0.02%	7.71M
7	Apparel Manufacturing	64.57B	25.03	18.00	1.99	0.98	3.64	8.38	18.09	11.52%	12.58%	1.73%	0.75%	80.83M
8	Apparel Retail	277.54B	23.46	20.58	3.03	1.63	7.39	18.01	29.99	11.38%	7.75%	7.34%	-0.16%	47.91M
9	Asset Management	1377.63B	30.94	18.37	2.17	3.83	3.24	11.97	21.90	4.88%	14.27%	18.32%	-1.47%	108.11M
10	Auto & Truck Dealerships	150.98B	28.02	21.47	0.66	0.69	3.94	24.40	30.05	16.35%	42.45%	18.78%	0.30%	19.26M
11	Auto Manufacturers	1662.50B	33.59	25.95	3.43	1.43	2.63	6.14	85.08	21.62%	9.78%	27.98%	-0.82%	377.76M
12	Auto Parts	311.02B	23.13	16.55	2.07	1.11	3.55	16.45	22.59	5.76%	11.18%	8.62%	-0.19%	120.36M
13	Banks - Diversified	3219.36B	13.73	11.36	1.14	1.79	1.49	1058.30	14.70	10.27%	12.03%	12.23%	-0.83%	100.19M
14	Banks - Regional	1703.05B	14.22	10.72	0.98	1.67	1.36	1580.06	9.56	7.77%	14.51%	15.38%	-0.41%	404.22M
15	Beverages - Brewers	202.49B	19.58	13.59	2.19	1.42	1.70	10.71	9.92	-10.08%	8.94%	3.93%	0.67%	22.49M
16	Beverages - Non-Alcoholic	707.67B	27.38	20.31	3.77	3.17	7.16	21.61	48.96	7.63%	7.26%	8.20%	0.67%	47.81M
17	Beverages - Wineries & Distilleries	91.78B	28.49	18.81	7.76	3.10	5.71	23.92	24.58	5.38%	3.67%	5.97%	0.25%	13.39M
18	Biotechnology	903.26B	51.40	34.75	2.53	9.02	4.05	5.29	46.58	-10.36%	20.33%	46.31%	0.78%	819.47M
19	Broadcasting	15.01B	10.99	9.01	-	0.62	1.62	5.50	4.36	30.69%	-7.53%	29.31%	-2.05%	22.40M
20	Building Materials	232.28B	27.51	22.54	2.48	2.97	2.94	33.39	41.34	21.90%	11.07%	6.67%	-0.75%	18.02M
21	Building Products & Equipment	371.42B	28.66	21.16	2.74	2.52	5.49	54.11	27.79	13.22%	10.45%	5.69%	-1.12%	31.37M
22	Business Equipment & Supplies	1.14B	13.82	11.69	-	0.51	0.70	2.23	7.02	1.31%	-	15.48%	-0.79%	882.38K
23	Capital Markets	1052.59B	21.99	18.25	1.28	1.91	2.98	4.24	5.83	13.55%	17.17%	31.24%	-1.19%	509.42M
24	Chemicals	33.75B	60.36	21.82	-	0.36	0.93	4.16	16.10	17.74%	-3.05%	2.15%	-0.66%	32.54M
25	Coking Coal	7.29B	64.25	12.79	2.53	1.20	1.57	6.62	21.52	-7.87%	25.39%	7.94%	-6.20%	11.35M
26	Communication Equipment	517.69B	28.79	17.16	3.32	2.91	4.20	10.26	21.44	8.78%	8.68%	3.25%	-2.56%	164.37M
27	Computer Hardware	447.64B	35.01	22.68	2.21	2.08	10.78	12.22	28.37	15.27%	15.85%	13.06%	-0.34%	197.42M
28	Confectioners	119.59B	25.40	22.63	-	2.43	3.99	44.77	25.89	7.98%	-0.06%	7.05%	0.43%	7.45M
29	Conglomerates	244.63B	23.06	18.18	3.04	2.00	6.30	11.01	30.96	0.84%	7.60%	-1.01%	-1.29%	17.26M
30	Consulting Services	94.87B	30.86	24.67	2.71	3.17	8.87	43.57	27.86	18.00%	11.40%	6.61%	0.02%	10.45M
31	Consumer Electronics	3616.59B	34.33	28.58	4.14	7.03	28.03	53.04	31.39	14.98%	8.29%	8.20%	-0.32%	70.71M
32	Copper	147.78B	24.88	17.76	1.64	3.61	4.46	15.12	26.75	17.46%	15.17%	10.35%	-0.37%	19.50M
33	Credit Services	1743.37B	27.85	20.77	1.89	5.27	6.10	11.46	18.06	10.46%	14.75%	10.45%	-0.60%	114.79M
34	Department Stores	13.07B	12.11	15.50	-	0.29	1.36	5.83	13.26	30.34%	-11.45%	-0.52%	0.73%	12.21M
35	Diagnostics & Research	675.48B	34.73	22.95	3.53	4.14	3.81	26.85	28.40	10.21%	9.83%	9.93%	0.43%	43.98M
36	Discount Stores	1352.60B	41.41	33.96	4.41	1.17	9.49	45.38	47.75	9.44%	9.39%	7.13%	-0.69%	32.64M
37	Drug Manufacturers - General	3096.69B	22.72	13.34	1.17	4.39	6.01	25.10	18.67	5.51%	19.39%	9.15%	1.49%	118.46M
38	Drug Manufacturers - Specialty & Generic	304.75B	30.19	14.00	1.94	2.27	2.18	11.96	15.67	11.44%	15.55%	8.25%	0.56%	208.83M
39	Education & Training Services	55.74B	22.58	17.36	1.85	1.62	2.59	3.54	17.65	17.34%	12.18%	9.18%	0.78%	25.47M
40	Electrical Equipment & Parts	138.92B	37.24	24.09	1.55	3.35	5.54	19.28	33.94	23.10%	24.06%	10.56%	-1.05%	244.35M
41	Electronic Components	376.79B	42.85	24.46	2.19	2.53	6.05	24.98	32.47	16.31%	19.60%	7.75%	-1.09%	45.15M
42	Electronic Gaming & Multimedia	254.28B	41.66	20.84	2.07	6.76	7.46	8.42	26.43	-24.39%	20.16%	22.42%	-2.61%	28.33M
43	Electronics & Computer Distribution	30.26B	17.94	10.37	1.44	0.24	1.31	14.94	14.64	-0.16%	12.49%	8.91%	-1.87%	2.65M
44	Engineering & Construction	326.53B	21.22	26.73	1.18	1.65	5.24	19.54	26.59	24.49%	17.94%	10.98%	-0.21%	26.35M
45	Entertainment	1079.72B	41.18	32.21	2.01	2.95	4.23	17.32	27.97	19.19%	20.50%	11.65%	0.09%	150.92M
46	Farm & Heavy Construction Machinery	424.04B	21.51	18.78	11.14	2.11	4.59	14.27	22.07	16.21%	1.93%	4.28%	-0.68%	23.38M
47	Farm Products	78.06B	14.72	13.18	2.32	0.37	1.25	4.59	11.45	13.70%	6.36%	7.48%	0.45%	12.65M
48	Financial Conglomerates	50.05B	15.74	3.09	1.13	1.51	1.36	4.37	31.99	4.94%	13.89%	14.69%	0.18%	3.65M
49	Financial Data & Stock Exchanges	716.81B	36.03	27.48	3.92	9.43	5.44	30.96	27.70	8.91%	9.20%	17.45%	-0.99%	24.03M
50	Food Distribution	79.35B	27.34	16.07	1.81	0.32	4.79	41.30	20.06	35.16%	15.13%	10.98%	-1.73%	11.99M
51	Footwear & Accessories	172.33B	34.54	27.53	3.19	2.16	6.75	11.94	28.73	10.53%	10.84%	11.43%	0.84%	41.36M
52	Furnishings, Fixtures & Appliances	65.33B	28.14	15.74	2.30	0.91	2.43	16.36	22.04	3.89%	12.22%	7.27%	-0.17%	19.59M
53	Gambling	124.69B	79.16	27.09	2.62	3.68	7.69	15.97	33.15	-21.04%	30.22%	43.00%	0.89%	81.80M
54	Gold	449.80B	20.92	13.02	0.79	4.93	2.76	17.22	25.07	11.31%	26.35%	13.19%	0.94%	224.07M
55	Grocery Stores	78.13B	19.06	14.10	1.59	0.30	4.19	10.14	27.13	14.67%	12.00%	5.02%	0.80%	15.45M
56	Health Information Services	121.25B	90.40	38.60	4.81	3.46	4.79	9.39	32.20	14.94%	18.79%	23.22%	1.67%	65.87M
57	Healthcare Plans	579.20B	14.37	12.60	10.95	0.36	1.88	39.89	12.96	-0.56%	1.31%	11.18%	7.21%	142.37M
58	Home Improvement Retail	548.32B	25.32	22.93	4.44	2.17	51.01	107.08	24.97	10.22%	5.70%	6.61%	-0.25%	8.88M
59	Household & Personal Products	768.10B	25.68	20.02	4.53	2.95	7.12	29.49	24.21	2.38%	5.67%	3.46%	0.00%	88.49M
60	Industrial Distribution	232.75B	30.62	24.28	3.58	1.76	6.69	50.48	30.69	18.01%	8.55%	8.91%	-0.45%	16.99M
61	Information Technology Services	866.91B	25.40	16.71	2.83	2.21	4.23	14.44	16.91	4.43%	8.99%	4.87%	0.53%	209.70M
62	Insurance - Diversified	2200.53B	19.52	24.56	12.65	2.56	1.84	3.20	55.20	4.72%	1.54%	8.10%	-0.30%	18.77M
63	Insurance - Life	291.51B	15.01	8.64	1.78	1.06	1.51	3895.06	4.71	7.56%	8.42%	-4.68%	-0.87%	21.53M
64	Insurance - Property & Casualty	619.67B	10.50	12.53	1.28	1.41	2.07	657.68	7.38	13.34%	8.23%	10.61%	-1.11%	30.23M
65	Insurance - Reinsurance	42.50B	11.15	6.50	0.78	0.73	1.03	-	2.91	4.22%	14.33%	15.98%	-1.32%	3.00M
66	Insurance - Specialty	79.33B	13.94	10.99	0.91	1.97	1.55	459.66	6.75	4.77%	15.38%	8.70%	-1.65%	10.17M
67	Insurance Brokers	358.15B	34.31	20.93	3.14	4.32	5.03	11.91	27.44	16.25%	10.94%	9.32%	0.01%	13.23M
68	Integrated Freight & Logistics	201.86B	15.55	13.17	2.51	0.80	3.11	11.06	21.95	11.08%	6.20%	5.34%	-0.64%	20.58M
69	Internet Content & Information	7297.43B	41.97	37.18	2.85	7.16	12.26	23.86	37.96	26.96%	14.72%	17.49%	0.61%	209.22M
70	Internet Retail	3431.85B	30.46	24.52	1.21	2.85	5.79	11.21	94.01	32.61%	25.07%	23.82%	0.29%	139.65M
71	Leisure	79.77B	42.74	22.08	1.90	1.93	4.32	14.63	27.95	-17.56%	22.51%	10.43%	0.96%	34.89M
72	Lodging	195.40B	32.13	24.73	2.69	3.30	45.44	36.10	29.21	17.20%	11.96%	4.52%	-0.55%	7.03M
73	Lumber & Wood Production	23.02B	24.86	18.66	7.80	1.08	1.64	10.48	43.95	29.06%	3.19%	11.01%	-1.43%	1.65M
74	Luxury Goods	29.41B	153.82	15.65	15.54	1.39	8.39	14.60	18.05	-98.54%	9.90%	6.00%	3.50%	14.21M
75	Marine Shipping	32.46B	5.08	7.88	0.52	0.94	0.85	4.50	5.05	30.92%	9.74%	17.00%	-0.13%	23.17M
76	Medical Care Facilities	215.62B	17.71	13.63	1.26	0.91	4.13	16.62	12.55	11.10%	14.02%	7.34%	0.35%	50.04M
77	Medical Devices	973.06B	30.98	22.69	2.53	4.18	4.01	20.42	32.83	9.05%	12.25%	8.64%	0.67%	144.17M
78	Medical Distribution	185.62B	26.75	15.59	2.20	0.20	32.19	20.09	19.75	26.74%	12.15%	8.97%	-0.33%	9.49M
79	Medical Instruments & Supplies	475.55B	45.23	23.36	4.02	4.15	3.45	22.70	36.41	10.89%	11.25%	9.42%	0.29%	71.75M
80	Metal Fabrication	47.54B	25.22	17.85	1.62	2.07	3.96	19.05	24.71	72.94%	15.55%	4.31%	-1.28%	5.75M
81	Mortgage Finance	37.70B	31.73	16.38	0.86	1.99	1.80	4.23	457.11	14.45%	36.68%	4.59%	-1.22%	24.67M
82	Oil & Gas Drilling	17.29B	34.60	18.44	25.59	0.77	0.66	6.38	13.12	18.53%	1.35%	9.30%	-3.07%	33.48M
