
No.	Name	Perf Week	Perf Month	Perf Quart	Perf Half	Perf Year	Perf YTD	Recom	Avg Volume	Rel Volume	Change	Volume
1	Advertising Agencies	-1.59%	0.99%	4.92%	-12.68%	52.36%	-4.86%	1.74	55.34M	0.69	1.01%	38.14M
2	Aerospace & Defense	-0.52%	-1.01%	12.01%	24.98%	30.39%	30.38%	1.83	185.78M	0.56	0.31%	103.62M
3	Agricultural Inputs	1.46%	-5.50%	-0.06%	10.39%	18.05%	20.11%	2.03	18.43M	0.68	0.56%	12.53M
4	Airlines	-0.98%	1.71%	18.03%	1.43%	54.70%	5.17%	1.69	131.14M	0.77	-1.18%	100.39M
5	Airports & Air Services	-3.01%	-0.44%	23.07%	34.82%	58.59%	44.57%	2.70	40.76M	0.84	0.31%	34.05M
6	Aluminum	-4.40%	-7.24%	11.02%	-8.94%	-4.59%	-8.17%	1.87	9.10M	0.47	0.43%	4.31M
7	Apparel Manufacturing	-0.73%	-2.75%	2.10%	-17.20%	-0.59%	-12.04%	2.05	47.72M	1.04	-0.28%	49.41M
8	Apparel Retail	1.56%	4.37%	-2.16%	0.62%	5.30%	-3.58%	1.89	57.18M	0.95	-0.33%	54.33M
9	Asset Management	-3.58%	-3.86%	10.65%	1.29%	22.09%	1.57%	2.03	131.20M	0.69	-0.29%	91.03M
10	Auto & Truck Dealerships	-0.71%	-1.17%	8.24%	5.10%	28.84%	15.10%	1.99	25.24M	0.53	0.12%	13.30M
11	Auto Manufacturers	-2.31%	-3.04%	-1.76%	-4.93%	25.82%	-13.18%	2.37	481.62M	0.87	-0.86%	417.19M
12	Auto Parts	0.31%	3.79%	-77.17%	13.02%	18.22%	17.32%	1.83	143.59M	0.60	-0.70%	86.75M
13	Banks - Diversified	-0.80%	0.41%	12.81%	14.36%	37.43%	25.69%	2.01	124.14M	0.65	-0.22%	80.09M
14	Banks - Regional	-0.25%	-0.43%	8.26%	10.02%	18.78%	14.89%	1.84	371.35M	0.80	-0.11%	295.54M
15	Beverages - Brewers	1.98%	-9.26%	-10.55%	9.60%	-8.41%	9.01%	1.81	38.21M	0.57	-0.03%	21.71M
16	Beverages - Non-Alcoholic	1.21%	2.47%	-6.58%	3.73%	0.46%	9.50%	1.96	60.01M	0.65	-0.43%	39.19M
17	Beverages - Wineries & Distilleries	2.91%	6.10%	-1.72%	4.44%	-17.09%	-11.85%	2.43	13.32M	0.73	-0.51%	9.78M
18	Biotechnology	1.76%	3.66%	42.85%	-15.71%	-9.30%	-7.57%	1.50	759.61M	1.50	1.72%	1.14B
19	Broadcasting	-0.81%	6.49%	10.83%	-20.57%	-13.10%	-13.69%	2.03	23.74M	0.94	1.80%	22.23M
20	Building Materials	-4.05%	4.32%	5.86%	2.94%	11.25%	7.05%	1.79	31.75M	1.52	0.63%	48.21M
21	Building Products & Equipment	-1.65%	-6.47%	3.33%	5.37%	8.09%	6.67%	2.22	34.89M	0.92	-1.14%	32.04M
22	Business Equipment & Supplies	-1.23%	-5.37%	-3.84%	-22.27%	-22.65%	-21.05%	1.00	1.05M	1.13	0.58%	1.19M
23	Capital Markets	-3.08%	-1.43%	19.80%	15.94%	52.36%	28.33%	2.10	491.31M	0.75	-0.24%	367.91M
24	Chemicals	0.74%	-17.79%	-10.60%	-31.54%	-52.62%	-36.34%	2.51	36.13M	0.68	-0.97%	24.64M
25	Coking Coal	-10.84%	-3.38%	23.04%	10.93%	-12.95%	-4.99%	1.84	7.81M	1.24	0.19%	9.68M
26	Communication Equipment	-2.13%	-0.76%	7.24%	4.69%	27.00%	9.01%	2.15	151.46M	0.75	0.22%	113.66M
27	Computer Hardware	-4.14%	4.47%	25.79%	10.93%	26.96%	18.02%	1.71	258.99M	0.51	-0.13%	132.85M
28	Confectioners	1.67%	-8.30%	1.27%	3.13%	-10.19%	5.75%	2.20	9.45M	0.72	-0.56%	6.84M
29	Conglomerates	-0.71%	-4.42%	1.22%	2.55%	12.73%	3.85%	2.07	15.98M	0.84	0.07%	13.40M
30	Consulting Services	0.57%	-3.19%	-9.31%	-1.81%	-11.81%	-4.04%	2.18	6.86M	0.54	-0.15%	3.73M
31	Consumer Electronics	-3.25%	5.24%	11.31%	-7.72%	1.19%	-8.81%	2.02	76.05M	0.52	-0.55%	39.53M
32	Copper	-2.17%	-6.23%	7.04%	3.26%	-5.55%	8.71%	2.61	35.71M	0.46	0.54%	16.30M
