
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	214.00B	43.44	22.55	1.41	3.06	8.92	15.88	24.12	58.44%	30.85%	28.85%	-2.96%	44.36M
2	Aerospace & Defense	1536.95B	42.82	31.00	2.85	3.06	7.33	25.04	52.06	21.91%	15.03%	3.83%	-0.36%	152.94M
3	Agricultural Inputs	122.61B	31.63	15.47	2.73	1.58	1.60	20.01	19.90	3.48%	11.61%	4.41%	0.14%	16.60M
4	Airlines	153.10B	11.56	8.89	0.63	0.55	2.45	3.08	13.15	-5.16%	18.26%	6.25%	0.42%	119.16M
5	Airports & Air Services	43.39B	32.10	21.48	2.59	5.59	7.39	12.85	34.47	18.77%	12.41%	13.35%	-0.63%	51.99M
6	Aluminum	12.73B	10.56	9.74	0.28	0.49	1.51	6.81	21.87	-5.07%	38.00%	4.13%	2.09%	7.28M
7	Apparel Manufacturing	62.78B	27.47	17.47	2.14	0.95	3.53	9.08	15.81	11.48%	12.83%	1.84%	-0.61%	38.29M
8	Apparel Retail	270.32B	22.85	20.05	2.95	1.59	7.20	17.52	29.20	11.50%	7.74%	7.39%	-0.52%	65.46M
9	Asset Management	1370.99B	30.61	18.23	2.15	3.76	3.27	11.99	21.41	4.90%	14.24%	18.49%	-0.15%	221.46M
10	Auto & Truck Dealerships	148.76B	28.15	21.36	0.68	0.68	3.90	23.87	29.70	16.30%	41.68%	19.14%	0.64%	25.12M
11	Auto Manufacturers	1565.20B	29.49	24.14	3.10	1.36	2.51	5.66	88.15	21.97%	9.53%	28.46%	-0.11%	374.39M
12	Auto Parts	304.11B	22.90	16.04	2.01	1.08	3.48	16.10	22.08	6.04%	11.41%	8.56%	1.03%	168.77M
13	Banks - Diversified	3132.82B	13.30	11.03	1.12	1.74	1.44	1029.86	15.16	10.15%	11.87%	12.24%	-0.15%	121.96M
14	Banks - Regional	1662.51B	13.86	10.45	0.96	1.74	1.35	1681.94	11.39	7.97%	14.37%	15.52%	0.04%	367.89M
15	Beverages - Brewers	200.74B	19.38	13.30	2.13	1.41	1.70	10.58	9.77	-10.16%	9.08%	3.97%	1.50%	42.86M
16	Beverages - Non-Alcoholic	681.81B	26.63	19.60	3.85	3.09	7.05	21.09	47.19	7.41%	6.91%	7.87%	-0.23%	55.40M
17	Beverages - Wineries & Distilleries	86.39B	19.39	17.80	6.05	2.93	5.22	27.71	23.04	0.93%	3.20%	4.21%	3.26%	10.43M
18	Biotechnology	863.68B	44.51	33.94	2.47	8.83	3.77	5.08	52.83	-10.24%	18.03%	47.13%	-2.53%	572.63M
19	Broadcasting	13.69B	9.02	8.19	-	0.56	1.47	5.01	4.65	31.06%	-6.38%	33.40%	-0.53%	20.47M
20	Building Materials	220.37B	26.25	21.25	2.29	2.84	3.08	30.62	40.06	22.08%	11.44%	6.71%	0.58%	32.06M
21	Building Products & Equipment	371.76B	28.11	21.03	2.64	2.51	5.54	54.94	27.41	13.24%	10.63%	5.66%	-0.03%	34.04M
22	Business Equipment & Supplies	1.13B	13.73	11.65	-	0.52	0.70	2.45	8.06	1.33%	-	16.92%	1.17%	1.02M
23	Capital Markets	1028.18B	21.55	17.78	1.27	1.92	2.92	3.91	7.25	13.70%	17.02%	31.13%	-0.76%	330.18M
24	Chemicals	33.26B	57.56	19.96	-	0.35	0.91	3.99	15.03	17.26%	-2.25%	2.41%	2.92%	47.32M
25	Coking Coal	6.41B	31.27	12.26	1.42	1.00	1.38	5.55	16.15	-7.50%	22.08%	7.57%	4.14%	7.21M
26	Communication Equipment	514.69B	29.97	17.96	3.39	2.92	4.21	10.25	21.78	7.62%	8.85%	2.04%	-1.39%	165.52M
27	Computer Hardware	420.87B	33.30	22.12	2.24	1.96	10.79	13.17	30.35	16.69%	14.86%	12.18%	-0.73%	263.34M
28	Confectioners	122.12B	25.94	23.13	-	2.48	4.07	45.61	26.44	8.09%	-0.18%	7.05%	-1.60%	10.34M
29	Conglomerates	246.68B	23.17	18.38	3.02	2.00	6.39	7.53	33.76	0.82%	7.68%	-0.99%	0.82%	16.46M
