No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	229.30B	46.29	23.68	1.43	3.30	9.59	17.41	25.91	59.76%	32.35%	29.25%	4.54%	12.56M
2	Aerospace & Defense	1529.02B	42.58	30.83	2.84	3.04	7.25	24.76	51.88	21.98%	15.01%	3.79%	-0.51%	24.17M
3	Agricultural Inputs	115.62B	26.15	14.54	2.23	1.48	1.46	18.20	20.24	2.95%	11.73%	4.39%	-2.87%	3.97M
4	Airlines	154.93B	11.75	9.02	0.65	0.56	2.48	3.12	13.34	-5.06%	18.19%	6.25%	-0.10%	6.72M
5	Airports & Air Services	43.41B	32.12	21.37	2.63	5.59	7.38	12.88	34.49	19.09%	12.23%	13.37%	-0.40%	9.22M
6	Aluminum	12.88B	10.69	9.86	0.28	0.49	1.53	6.89	22.13	-5.07%	37.95%	4.11%	1.32%	424.47K
7	Apparel Manufacturing	62.59B	27.48	17.41	2.13	0.95	3.54	9.05	15.81	11.40%	12.90%	1.78%	-0.56%	6.48M
8	Apparel Retail	277.83B	23.49	20.61	3.02	1.63	7.40	18.01	30.01	11.49%	7.78%	7.34%	0.32%	4.58M
9	Asset Management	1382.55B	31.33	18.37	2.18	3.80	3.27	12.20	21.82	4.86%	14.35%	18.51%	0.02%	17.79M
10	Auto & Truck Dealerships	152.22B	28.65	21.81	0.67	0.69	3.98	25.00	29.84	16.19%	42.86%	19.14%	0.91%	1.12M
11	Auto Manufacturers	1605.48B	30.75	24.85	3.23	1.39	2.56	5.87	90.42	22.00%	9.53%	28.27%	0.00%	41.28M
12	Auto Parts	308.78B	23.24	16.26	2.04	1.09	3.52	16.21	22.42	6.13%	11.39%	8.60%	0.34%	20.91M
13	Banks - Diversified	3152.40B	13.40	11.10	1.12	1.75	1.45	1036.29	14.39	10.20%	11.95%	12.25%	0.55%	10.94M
14	Banks - Regional	1676.22B	13.98	10.54	0.97	1.75	1.36	1695.80	11.17	8.05%	14.39%	15.57%	0.42%	18.16M
15	Beverages - Brewers	214.67B	20.73	14.31	2.46	1.51	1.81	11.20	10.52	-7.89%	8.42%	3.86%	1.07%	1.14M
