
No.	Name	Perf Week	Perf Month	Perf Quart	Perf Half	Perf Year	Perf YTD	Recom	Avg Volume	Rel Volume	Change	Volume
1	Advertising Agencies	-2.65%	6.89%	6.59%	-17.23%	62.98%	-1.47%	1.74	55.54M	0.83	0.67%	46.12M
2	Aerospace & Defense	-0.05%	-0.21%	11.88%	24.93%	33.42%	30.95%	1.82	186.09M	0.75	0.51%	139.66M
3	Agricultural Inputs	1.00%	-4.99%	-0.39%	10.37%	20.64%	18.80%	2.03	18.57M	0.97	0.07%	18.01M
4	Airlines	9.99%	7.66%	19.92%	3.63%	65.67%	8.50%	1.68	131.06M	0.76	0.48%	99.60M
5	Airports & Air Services	0.65%	1.15%	24.83%	40.31%	67.48%	48.58%	2.71	39.48M	0.95	-0.77%	37.62M
6	Aluminum	1.89%	-1.25%	8.13%	-6.15%	2.43%	-7.99%	1.86	9.23M	1.02	-4.22%	9.39M
7	Apparel Manufacturing	7.03%	2.98%	-0.34%	-13.02%	4.74%	-10.61%	2.05	47.11M	1.20	0.12%	56.50M
8	Apparel Retail	1.39%	6.60%	-5.23%	-1.89%	8.30%	-4.90%	1.89	56.85M	0.86	0.34%	48.93M
9	Asset Management	0.27%	-1.07%	7.97%	2.42%	26.72%	3.52%	2.03	131.66M	0.73	-0.25%	96.41M
10	Auto & Truck Dealerships	3.61%	2.49%	6.86%	-0.12%	37.28%	17.77%	1.99	20.78M	0.85	1.30%	17.59M
11	Auto Manufacturers	0.52%	3.06%	-1.84%	-2.77%	39.44%	-10.69%	2.38	485.85M	0.61	1.31%	295.10M
12	Auto Parts	1.91%	6.82%	9.24%	12.77%	20.19%	17.04%	1.83	145.59M	0.75	0.26%	109.48M
13	Banks - Diversified	1.90%	3.73%	11.76%	12.99%	42.27%	25.86%	2.00	125.82M	0.78	0.17%	98.66M
14	Banks - Regional	3.05%	1.90%	6.63%	9.47%	23.93%	15.15%	1.85	370.64M	0.87	0.39%	321.66M
15	Beverages - Brewers	-0.42%	-7.64%	-11.58%	9.12%	-8.26%	7.54%	1.81	38.15M	0.57	-0.07%	21.62M
16	Beverages - Non-Alcoholic	-0.01%	1.60%	2.45%	5.37%	-0.07%	8.27%	1.96	60.07M	0.87	-0.60%	52.46M
17	Beverages - Wineries & Distilleries	-0.63%	6.93%	-5.92%	1.86%	-18.50%	-14.16%	2.43	12.69M	0.85	-0.05%	10.78M
18	Biotechnology	5.78%	5.10%	-2.11%	-14.48%	-7.58%	-8.61%	1.51	707.73M	1.21	-0.23%	854.37M
19	Broadcasting	7.06%	10.36%	6.74%	-20.96%	-7.49%	-13.71%	1.86	23.27M	0.94	0.94%	21.92M
20	Building Materials	2.65%	10.57%	6.17%	1.93%	17.54%	10.37%	1.80	30.05M	0.93	-0.33%	27.93M
21	Building Products & Equipment	2.25%	-1.78%	1.20%	6.07%	12.53%	8.39%	2.22	34.73M	0.78	1.07%	26.96M
22	Business Equipment & Supplies	1.56%	-2.02%	-6.63%	-21.13%	-19.44%	-21.34%	1.00	1.06M	0.68	-0.80%	724.28K
23	Capital Markets	0.25%	-0.05%	18.11%	14.54%	57.53%	30.17%	2.10	488.13M	1.23	0.04%	599.02M
24	Chemicals	6.43%	-14.09%	-15.30%	-33.66%	-51.94%	-37.03%	2.51	36.08M	1.04	0.29%	37.47M
25	Coking Coal	-5.38%	7.48%	23.41%	9.66%	-8.38%	-3.04%	1.84	7.32M	1.24	-2.97%	9.08M
26	Communication Equipment	-2.53%	0.06%	6.75%	4.82%	37.58%	9.55%	2.15	154.82M	0.95	0.95%	146.53M
27	Computer Hardware	0.85%	9.75%	27.17%	18.52%	37.76%	23.56%	1.70	270.61M	0.52	0.68%	142.06M
28	Confectioners	0.77%	-7.84%	-1.19%	4.58%	-12.13%	4.22%	2.22	9.48M	0.67	-0.22%	6.33M
29	Conglomerates	-0.28%	-4.38%	-0.67%	4.98%	13.11%	3.30%	2.07	17.24M	1.01	0.08%	17.35M
30	Consulting Services	0.95%	-5.87%	-11.11%	-5.25%	-12.72%	-5.00%	2.17	7.02M	0.71	-0.46%	4.97M
31	Consumer Electronics	1.76%	9.77%	9.59%	-4.68%	5.88%	-6.38%	2.02	76.60M	0.67	-0.35%	51.22M
32	Copper	1.05%	-2.59%	9.22%	3.78%	-0.10%	9.98%	2.56	36.08M	0.57	-0.67%	20.62M
33	Credit Services	2.53%	0.64%	-0.27%	0.35%	31.00%	8.67%	1.82	145.86M	0.78	0.11%	113.15M
34	Department Stores	11.17%	15.40%	22.61%	1.41%	8.12%	2.86%	3.66	20.19M	0.60	1.80%	12.13M
35	Diagnostics & Research	4.30%	13.25%	12.35%	-1.14%	-12.45%	-2.83%	1.74	55.43M	0.84	-0.49%	46.77M
36	Discount Stores	-2.22%	4.56%	0.78%	-4.15%	28.62%	9.35%	1.69	34.59M	0.85	0.71%	29.52M
37	Drug Manufacturers - General	5.02%	1.45%	4.52%	-2.94%	-13.93%	1.29%	1.99	133.21M	0.95	-0.14%	126.74M
