
No.	Name	Stocks	Market Cap	Dividend	P/E	Fwd P/E	PEG	Float Short	Change	Volume
1	Basic Materials	276	2183.40B	2.09%	22.96	15.62	1.73	2.74%	-0.31%	588.63M
2	Communication Services	276	9967.92B	0.64%	33.40	28.10	2.14	2.75%	-1.17%	806.75M
3	Consumer Cyclical	569	8958.56B	0.80%	28.11	22.51	1.67	4.86%	-0.31%	1.24B
4	Consumer Defensive	248	4330.31B	2.45%	28.05	20.67	3.69	2.18%	0.84%	394.75M
5	Energy	251	3394.74B	4.43%	15.08	12.37	1.58	2.90%	-0.43%	550.97M
6	Financial	955	13550.08B	1.85%	18.43	14.94	1.63	1.53%	-0.17%	1.39B
7	Healthcare	1131	7565.10B	1.72%	26.44	16.78	1.76	5.18%	0.36%	1.46B
8	Industrials	686	6432.91B	1.21%	27.86	22.36	2.39	4.53%	-0.08%	956.05M
9	Real Estate	264	1682.67B	3.85%	38.27	30.57	2.76	4.70%	1.71%	611.61M
10	Technology	773	24156.07B	0.61%	40.93	26.57	2.04	3.02%	-1.98%	2.49B
11	Utilities	106	1706.16B	2.98%	20.68	16.60	2.22	2.20%	0.64%	185.43M

