
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	209.99B	40.81	21.09	1.08	3.02	8.57	16.81	24.48	61.79%	37.88%	29.01%	-4.40%	64.53M
2	Aerospace & Defense	1508.46B	41.87	30.43	2.77	3.00	7.07	23.72	51.06	20.81%	15.10%	3.59%	-1.43%	142.20M
3	Agricultural Inputs	119.08B	21.53	14.56	1.80	1.51	1.48	16.14	16.99	3.04%	11.94%	4.37%	0.02%	13.57M
4	Airlines	168.62B	12.77	9.80	0.72	0.61	2.71	3.41	14.52	-5.31%	17.73%	6.22%	-0.10%	105.78M
5	Airports & Air Services	42.52B	31.30	20.94	2.51	5.45	7.18	12.19	33.78	19.86%	12.45%	13.32%	-2.57%	33.34M
6	Aluminum	13.03B	10.83	10.01	0.27	0.50	1.55	6.99	22.39	-5.06%	40.39%	4.11%	0.77%	6.73M
7	Apparel Manufacturing	64.30B	24.84	17.94	1.97	0.97	3.60	8.34	17.97	11.57%	12.58%	1.74%	-0.20%	56.63M
8	Apparel Retail	279.76B	23.65	20.77	3.05	1.65	7.45	18.15	30.23	11.37%	7.76%	7.33%	0.47%	51.92M
9	Asset Management	1358.05B	30.68	18.11	2.16	3.77	3.20	11.80	21.59	4.94%	14.23%	18.27%	-1.02%	117.16M
10	Auto & Truck Dealerships	150.52B	27.94	21.46	0.66	0.69	3.97	25.78	29.96	16.40%	42.02%	18.71%	-1.04%	15.91M
11	Auto Manufacturers	1670.63B	33.76	25.83	3.45	1.43	2.64	6.17	85.50	21.51%	9.78%	27.81%	-0.81%	392.69M
12	Auto Parts	314.46B	23.37	16.72	2.10	1.12	3.58	16.58	22.82	6.15%	11.12%	8.59%	0.87%	111.85M
13	Banks - Diversified	3210.15B	13.69	11.32	1.13	1.79	1.48	1055.28	14.66	10.22%	12.10%	12.23%	-0.45%	94.73M
14	Banks - Regional	1690.49B	14.06	10.64	0.97	1.69	1.35	1303.93	9.76	7.76%	14.56%	15.43%	-0.78%	338.59M
15	Beverages - Brewers	203.13B	19.64	13.64	2.22	1.43	1.70	10.74	9.95	-10.01%	8.84%	3.91%	0.38%	37.67M
16	Beverages - Non-Alcoholic	712.21B	27.55	20.44	3.78	3.19	7.21	21.75	49.28	7.75%	7.29%	8.26%	1.24%	48.96M
17	Beverages - Wineries & Distilleries	93.83B	29.13	19.25	7.90	3.17	5.55	24.42	25.13	5.42%	3.69%	5.99%	2.47%	12.29M
