No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	220.49B	44.81	23.23	1.44	3.16	9.19	16.23	24.87	59.11%	31.20%	29.10%	3.58%	47.66M
2	Aerospace & Defense	1545.12B	43.08	31.19	2.88	3.07	7.39	25.24	52.17	20.91%	14.94%	3.66%	1.13%	131.97M
3	Agricultural Inputs	122.44B	31.59	15.44	2.73	1.58	1.60	19.99	19.87	3.55%	11.59%	4.41%	0.83%	15.33M
4	Airlines	152.47B	11.51	8.91	0.64	0.55	2.44	3.06	13.10	-5.10%	17.96%	6.26%	2.05%	116.76M
5	Airports & Air Services	43.66B	32.30	21.50	2.58	5.63	7.44	12.93	34.69	18.50%	12.50%	13.34%	6.46%	97.94M
6	Aluminum	12.47B	10.35	9.70	0.27	0.48	1.48	6.67	21.42	-5.08%	38.49%	4.14%	1.35%	7.93M
7	Apparel Manufacturing	63.20B	27.65	17.49	2.15	0.96	3.56	9.14	15.92	11.56%	12.85%	1.83%	3.53%	42.59M
8	Apparel Retail	271.73B	22.97	20.15	2.97	1.60	7.23	17.61	29.35	11.52%	7.74%	7.40%	3.02%	99.97M
9	Asset Management	1374.21B	30.21	18.26	2.12	3.78	3.27	12.02	21.47	5.01%	14.28%	18.45%	1.69%	119.32M
10	Auto & Truck Dealerships	149.21B	28.23	21.48	0.67	0.68	3.92	23.94	29.79	16.32%	42.44%	19.43%	-0.92%	24.42M
11	Auto Manufacturers	1566.86B	29.52	24.10	3.10	1.36	2.52	5.67	88.25	21.81%	9.54%	28.46%	1.75%	407.98M
12	Auto Parts	301.00B	22.71	15.88	1.99	1.07	3.45	15.96	21.83	5.71%	11.41%	8.55%	1.75%	111.78M
13	Banks - Diversified	3139.55B	13.35	11.06	1.13	1.75	1.44	1032.07	15.19	10.11%	11.83%	12.25%	1.05%	103.90M
14	Banks - Regional	1662.27B	13.86	10.45	0.96	1.73	1.35	1681.69	11.40	8.02%	14.38%	15.50%	0.97%	349.07M
15	Beverages - Brewers	199.22B	19.08	13.10	2.08	1.40	1.67	10.50	9.69	-10.19%	9.16%	3.98%	1.59%	26.66M
16	Beverages - Non-Alcoholic	683.43B	26.69	19.65	3.84	3.10	7.07	21.14	47.30	7.46%	6.96%	7.95%	0.36%	51.32M
17	Beverages - Wineries & Distilleries	83.78B	18.80	18.14	-	2.84	5.06	26.88	22.35	0.94%	-0.09%	4.22%	1.19%	11.95M
