

No.	Name	Perf Week	Perf Month	Perf Quart	Perf Half	Perf Year	Perf YTD	Recom	Avg Volume	Rel Volume	Change	Volume
1	Advertising Agencies	6.01%	33.23%	45.14%	58.11%	83.46%	25.50%	1.72	60.69M	2.97	1.21%	179.99M
2	Aerospace & Defense	1.47%	4.92%	12.35%	25.96%	34.47%	35.63%	1.83	180.49M	0.99	1.22%	178.18M
3	Agricultural Inputs	-2.04%	-1.15%	-8.12%	9.08%	16.61%	17.44%	2.03	18.08M	0.98	-0.04%	17.70M
4	Airlines	-2.86%	-2.37%	19.81%	21.50%	41.87%	6.00%	1.73	135.67M	1.18	-0.12%	160.32M
5	Airports & Air Services	0.74%	0.70%	23.56%	44.94%	53.77%	45.78%	2.73	44.64M	1.11	1.71%	49.65M
6	Aluminum	3.93%	11.61%	21.38%	5.40%	6.20%	3.48%	1.87	9.00M	0.88	1.39%	7.96M
7	Apparel Manufacturing	-0.32%	7.18%	17.95%	13.65%	4.06%	-4.39%	2.06	50.88M	0.86	1.78%	43.77M
8	Apparel Retail	-1.41%	1.80%	10.92%	9.01%	3.83%	-2.81%	1.92	56.00M	0.84	0.38%	47.28M
9	Asset Management	1.45%	4.04%	14.88%	16.70%	22.42%	6.58%	1.99	138.29M	1.13	1.94%	155.79M
10	Auto & Truck Dealerships	1.05%	4.89%	10.70%	34.38%	39.21%	22.25%	2.00	20.77M	0.92	0.50%	19.16M
11	Auto Manufacturers	9.26%	17.88%	23.63%	45.55%	50.87%	4.44%	2.39	363.58M	0.96	-1.36%	347.31M
12	Auto Parts	-1.45%	3.73%	18.70%	20.23%	27.13%	22.43%	1.85	149.93M	1.27	0.27%	189.96M
13	Banks - Diversified	1.75%	7.15%	17.32%	26.19%	47.25%	34.26%	2.00	122.42M	0.82	0.50%	99.78M
14	Banks - Regional	0.62%	3.58%	11.20%	16.42%	20.34%	18.35%	1.85	379.49M	1.00	0.57%	380.20M
15	Beverages - Brewers	-1.20%	-4.67%	-13.41%	-9.78%	-15.51%	2.91%	1.81	41.30M	1.28	-0.76%	52.70M
16	Beverages - Non-Alcoholic	-1.86%	-6.37%	-0.69%	-2.98%	-9.09%	2.63%	1.95	64.65M	0.96	-1.01%	61.81M
17	Beverages - Wineries & Distilleries	-4.35%	-12.54%	-0.96%	-9.62%	-29.47%	-22.96%	2.42	9.99M	0.78	-0.66%	7.76M
18	Biotechnology	0.46%	3.59%	11.84%	-10.11%	-8.19%	-6.53%	1.50	750.52M	1.05	2.06%	785.11M
19	Broadcasting	1.59%	3.08%	22.89%	-24.71%	-10.19%	-11.45%	2.06	23.95M	0.99	1.01%	23.72M
20	Building Materials	-2.36%	-1.17%	14.54%	10.82%	10.75%	9.72%	1.77	33.85M	0.88	0.73%	29.79M
21	Building Products & Equipment	-3.21%	-4.35%	1.97%	8.55%	-0.45%	3.99%	2.23	35.92M	1.02	0.99%	36.52M
22	Business Equipment & Supplies	1.55%	3.85%	3.77%	-8.96%	-20.34%	-17.92%	1.00	956.83K	0.87	1.91%	835.45K
23	Capital Markets	2.27%	8.72%	20.06%	40.86%	67.34%	38.85%	2.12	547.21M	1.34	1.64%	734.50M
24	Chemicals	-2.87%	5.79%	-6.86%	-23.07%	-47.50%	-32.68%	2.44	38.10M	1.09	-0.34%	41.37M
25	Coking Coal	12.74%	19.35%	46.89%	43.44%	15.23%	12.76%	1.80	8.96M	1.24	4.32%	11.09M
26	Communication Equipment	1.04%	9.38%	14.49%	21.51%	36.38%	18.80%	2.17	164.72M	1.01	1.30%	166.88M
27	Computer Hardware	4.05%	19.71%	48.63%	65.40%	61.85%	43.40%	1.75	229.38M	1.65	2.52%	377.54M
28	Confectioners	1.94%	1.90%	-0.75%	2.44%	-13.37%	7.59%	2.14	9.67M	2.08	0.20%	20.16M
29	Conglomerates	-2.18%	-1.04%	1.36%	1.88%	7.84%	2.83%	2.09	15.64M	1.03	-0.19%	16.08M
30	Consulting Services	-2.75%	-2.31%	-5.03%	-3.09%	-15.27%	-5.73%	2.12	7.52M	0.95	-0.56%	7.17M
31	Consumer Electronics	3.40%	3.36%	20.81%	11.02%	11.71%	-3.39%	2.04	86.57M	0.82	-0.29%	71.30M
32	Copper	0.25%	11.80%	12.44%	12.20%	10.33%	21.42%	2.64	32.03M	0.76	0.05%	24.33M
33	Credit Services	0.38%	2.44%	7.33%	10.46%	23.70%	11.03%	1.84	152.66M	1.01	-0.91%	154.46M
34	Department Stores	2.73%	23.24%	59.71%	52.01%	36.21%	22.21%	3.62	21.15M	0.61	1.06%	12.86M
35	Diagnostics & Research	-0.04%	-1.24%	12.54%	2.00%	-14.61%	-2.80%	1.75	63.74M	0.74	1.60%	46.98M
36	Discount Stores	0.13%	-0.45%	4.17%	13.89%	16.24%	9.33%	1.59	36.00M	1.00	-0.71%	35.94M
37	Drug Manufacturers - General	-0.86%	1.46%	3.31%	-5.21%	-13.78%	3.50%	2.03	133.29M	0.98	0.38%	130.57M
38	Drug Manufacturers - Specialty & Generic	-1.91%	0.92%	-4.93%	3.63%	-5.49%	1.19%	1.78	186.54M	0.89	0.39%	165.13M
39	Education & Training Services	-1.68%	4.13%	2.72%	4.07%	21.13%	7.69%	1.67	32.62M	1.05	0.15%	34.14M
40	Electrical Equipment & Parts	5.59%	15.26%	34.94%	55.78%	53.19%	30.67%	1.85	146.47M	1.47	3.00%	215.61M
41	Electronic Components	2.88%	13.97%	33.68%	64.83%	79.59%	62.04%	1.79	49.95M	1.26	3.07%	63.18M
42	Electronic Gaming & Multimedia	1.75%	12.72%	18.89%	54.11%	85.24%	62.83%	1.74	26.36M	0.57	-1.48%	15.04M
43	Electronics & Computer Distribution	-2.71%	-0.00%	7.40%	6.09%	-0.21%	7.74%	2.38	3.27M	1.18	1.87%	3.85M
44	Engineering & Construction	1.62%	6.37%	19.46%	47.23%	43.13%	33.40%	1.72	35.33M	1.03	2.96%	36.27M
45	Entertainment	0.35%	2.27%	2.99%	24.05%	54.14%	25.22%	1.80	174.25M	0.88	-1.00%	152.48M
46	Farm & Heavy Construction Machinery	3.69%	4.69%	9.67%	15.47%	23.02%	16.26%	2.23	31.80M	0.94	2.44%	29.74M
47	Farm Products	-2.24%	-1.05%	3.96%	10.93%	-5.41%	6.87%	2.49	18.12M	1.94	-0.15%	35.17M
48	Financial Conglomerates	0.50%	2.78%	23.91%	21.72%	17.29%	25.08%	1.91	3.22M	0.91	-0.21%	2.94M
