No.	Name	Perf Week	Perf Month	Perf Quart	Perf Half	Perf Year	Perf YTD	Recom	Avg Volume	Rel Volume	Change	Volume
1	Advertising Agencies	6.23%	31.44%	47.38%	51.51%	83.87%	30.76%	1.75	63.33M	0.93	1.17%	59.17M
2	Aerospace & Defense	2.22%	5.33%	12.63%	27.59%	36.04%	37.89%	1.83	183.07M	1.46	0.98%	266.89M
3	Agricultural Inputs	-0.62%	-4.28%	-6.74%	8.06%	10.49%	14.78%	2.06	13.25M	1.09	-0.39%	14.48M
4	Airlines	0.21%	-4.92%	14.24%	18.34%	36.75%	5.45%	1.73	135.90M	0.92	0.76%	125.36M
5	Airports & Air Services	6.62%	4.66%	29.75%	51.06%	57.58%	52.80%	2.75	46.29M	1.28	1.38%	59.05M
6	Aluminum	-3.24%	2.60%	14.88%	6.61%	0.48%	-0.55%	1.87	9.01M	1.15	-2.65%	10.36M
7	Apparel Manufacturing	0.88%	5.03%	15.52%	11.13%	2.63%	-4.71%	2.05	51.76M	1.52	1.37%	78.64M
8	Apparel Retail	0.05%	-0.39%	8.96%	6.31%	2.89%	-3.31%	1.91	56.11M	0.87	0.24%	49.09M
9	Asset Management	1.68%	1.96%	11.04%	13.94%	16.66%	6.06%	1.99	148.91M	1.21	-0.35%	179.68M
10	Auto & Truck Dealerships	0.74%	0.13%	4.76%	22.97%	30.38%	20.83%	2.00	21.35M	2.16	-1.34%	46.03M
11	Auto Manufacturers	0.95%	16.32%	20.83%	34.81%	45.17%	5.94%	2.37	360.55M	0.95	-1.26%	342.80M
12	Auto Parts	-0.30%	2.15%	16.37%	17.95%	24.54%	21.85%	1.82	153.13M	1.19	-0.09%	182.01M
13	Banks - Diversified	1.72%	5.61%	15.02%	24.99%	44.83%	34.91%	2.01	121.75M	0.78	-0.10%	95.00M
14	Banks - Regional	0.38%	-0.71%	6.77%	13.34%	15.58%	16.88%	1.85	382.63M	1.04	-0.13%	398.63M
15	Beverages - Brewers	0.82%	-6.27%	-12.33%	-7.36%	-14.07%	3.76%	1.79	42.21M	1.62	0.76%	68.34M
16	Beverages - Non-Alcoholic	0.16%	-5.75%	-1.80%	-2.49%	-7.98%	2.75%	1.96	64.46M	0.93	0.74%	59.68M
17	Beverages - Wineries & Distilleries	-3.50%	-15.59%	-3.12%	-10.79%	-32.41%	-24.58%	2.42	9.94M	1.32	0.32%	13.13M
18	Biotechnology	1.80%	-0.72%	8.57%	-9.66%	-9.70%	-7.07%	1.50	743.64M	0.93	-0.86%	689.08M
