
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Basic Materials	2273.27B	23.66	16.25	1.70	1.99	2.35	13.33	28.58	11.73%	13.94%	7.06%	0.21%	455.67K
2	Communication Services	11072.82B	37.07	31.25	2.34	4.66	7.19	21.11	29.11	23.56%	15.82%	15.85%	-0.18%	3.33M
3	Consumer Cyclical	9254.37B	28.74	23.27	1.68	0.73	4.94	2.99	43.58	19.57%	17.06%	18.34%	-0.35%	29.52M
4	Consumer Defensive	4264.28B	27.06	20.25	3.46	1.45	5.04	22.51	25.97	6.22%	7.83%	5.90%	-0.27%	940.97K
5	Energy	3487.06B	15.50	12.76	1.64	1.08	1.73	12.62	12.55	16.65%	9.47%	6.31%	0.22%	255.68K
6	Financial	13966.37B	18.94	15.24	1.67	2.37	2.13	10.90	14.60	8.81%	11.33%	13.16%	-0.04%	4.86M
7	Healthcare	7705.68B	26.94	17.16	1.78	1.74	4.20	16.64	22.21	5.71%	15.10%	12.94%	-0.11%	18.22M
8	Industrials	6412.33B	27.85	22.24	2.33	2.29	5.07	20.35	30.81	11.89%	11.95%	5.82%	0.11%	13.46M
9	Real Estate	1710.35B	38.95	31.23	2.85	4.34	2.39	21.31	23.82	1.54%	13.64%	10.91%	0.16%	1.01M
10	Technology	24944.93B	41.21	26.94	1.92	7.42	10.10	26.62	39.87	30.48%	21.50%	23.04%	1.45%	12.87M
11	Utilities	1669.89B	20.21	16.35	2.16	2.35	2.10	27.23	90.49	6.53%	9.37%	5.22%	0.38%	106.92K

